Entity,Code,Year,Solar photovoltaic module price,Solar photovoltaic cumulative capacity
World,OWID_WRL,1975,115.27994,0.54
World,OWID_WRL,1976,86.73498,1.08
World,OWID_WRL,1977,63.27724,2.16
World,OWID_WRL,1978,44.769016,3.51
World,OWID_WRL,1979,37.616653,5.235
World,OWID_WRL,1980,31.877598,7.965
World,OWID_WRL,1981,25.486736,12.88
World,OWID_WRL,1982,22.899265,19.405
World,OWID_WRL,1983,18.48658,29.255
World,OWID_WRL,1984,17.17762,46.705
World,OWID_WRL,1985,14.996445,66.455
World,OWID_WRL,1986,12.40504,89.155
World,OWID_WRL,1987,10.546382,113.655
World,OWID_WRL,1988,9.850762,140.6
World,OWID_WRL,1989,10.180332,173.35
World,OWID_WRL,1990,10.529626,212.3
World,OWID_WRL,1991,9.754261,257.15
World,OWID_WRL,1992,9.087465,309.05
World,OWID_WRL,1993,8.498376,365.9
World,OWID_WRL,1994,8.039315,423.75
World,OWID_WRL,1995,7.4332066,489.25
World,OWID_WRL,1996,6.9492726,565
World,OWID_WRL,1997,6.92504,650.8
World,OWID_WRL,1998,6.240156,771
World,OWID_WRL,1999,5.7644114,914.5
World,OWID_WRL,2000,5.6569705,1103
World,OWID_WRL,2001,5.472839,1373
World,OWID_WRL,2002,5.00502,1738.5
World,OWID_WRL,2003,4.7581787,2229.2056
World,OWID_WRL,2004,4.1068506,3051.979
World,OWID_WRL,2005,4.150731,4548.119
World,OWID_WRL,2006,4.5242715,6093.193
World,OWID_WRL,2007,4.55778,8506.466
World,OWID_WRL,2008,4.1538196,14729.541
World,OWID_WRL,2009,2.7763515,22844.467
World,OWID_WRL,2010,2.1539392,40337.81
World,OWID_WRL,2011,1.7668298,72215.98
World,OWID_WRL,2012,0.95170355,101746.33
World,OWID_WRL,2013,0.7335895,137227.97
World,OWID_WRL,2014,0.6760093,175617.17
World,OWID_WRL,2015,0.62826574,223203.62
World,OWID_WRL,2016,0.5800744,295228.97
World,OWID_WRL,2017,0.48668432,390203.62
World,OWID_WRL,2018,0.4334812,482990.3
World,OWID_WRL,2019,0.39740166,584623.2
World,OWID_WRL,2020,0.3152967,710700.25
World,OWID_WRL,2021,0.266575,848404.56
